market_name,genres,lengths,response_time,description,row_number,tagged_description
Halfway Down the Stairs - Poetry,"Poetry Poetry Poetry General, Literary",Poetry,8 days,"We are looking for serious writers with an appreciation for language and the craft of writing. We want fiction with memorable characters and realistic plots, poetry that is fresh and original, and nonfiction that is both thoughtful and entertaining.",1,"1 We are looking for serious writers with an appreciation for language and the craft of writing. We want fiction with memorable characters and realistic plots, poetry that is fresh and original, and nonfiction that is both thoughtful and entertaining."
Harper's,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",26 days,HarperÉ??s will consider unsolicited fiction.,2,2 HarperÉ??s will consider unsolicited fiction.
Harvey Duckman Presents...,"Short Story, Flash Short Story, Flash Short Story, Flash Fantasy, Horror, Science Fiction, Young Adult","Short Story, Flash",100 days,"Sixth Element Publishing is looking for new, original, exciting, exhilarating, thought-provoking short stories in the genres of science fiction, fantasy, steampunk and horror.",3,"3 Sixth Element Publishing is looking for new, original, exciting, exhilarating, thought-provoking short stories in the genres of science fiction, fantasy, steampunk and horror."
Haven Spec Magazine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Fantasy, Horror, Science Fiction","Flash, Short Story",51 days,"Note: if accepted, wait six months after publication to submit again. We like stories that are subtle in their telling and stick with us long after we've finished, and we're more likely to buy stories that balance a sense of wonder with a bold plot and emotional depth. For our two issues focused on the climate crisis, we're particularly interested in publishing stories from people displaced by or threatened by the climate emergency (see our themes below). For our other four issues, we're open to a wide variety of stories across the SFF and weird spectra. Each September, we publish our WET Issue! Here we focus on stories of waterÉ??monsoons and the rising tides, hurricanes and the disappearing coastÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely! Each March, we publish our DRY Issue! Here we're looking for content that focuses on the dry aspects of climate changeÉ??desertification and falling reservoirs, rising temperatures and endless droughtsÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely!",4,"4 Note: if accepted, wait six months after publication to submit again. We like stories that are subtle in their telling and stick with us long after we've finished, and we're more likely to buy stories that balance a sense of wonder with a bold plot and emotional depth. For our two issues focused on the climate crisis, we're particularly interested in publishing stories from people displaced by or threatened by the climate emergency (see our themes below). For our other four issues, we're open to a wide variety of stories across the SFF and weird spectra. Each September, we publish our WET Issue! Here we focus on stories of waterÉ??monsoons and the rising tides, hurricanes and the disappearing coastÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely! Each March, we publish our DRY Issue! Here we're looking for content that focuses on the dry aspects of climate changeÉ??desertification and falling reservoirs, rising temperatures and endless droughtsÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely!"
Haven Spec Magazine - Poetry,"Poetry Poetry Poetry Fantasy, Horror, Science Fiction",Poetry,65 days,"Note: if accepted, wait six months after publication to submit again. We like poems that use complex fixed verse forms (think sestina, awdl gywydd, masnavi, etc), but we're not against blank or free verse. Most important to us is vivid imagery, clever lyricism, and a strong emotional core. For our two issues focused on the climate crisis, we're particularly interested in publishing poems from people displaced by or threatened by the climate emergency (see our themes below). For our other four issues, we're open to a wide variety of poems across the SFF and weird spectra. Each September, we publish our WET Issue! Here we focus on stories of waterÉ??monsoons and the rising tides, hurricanes and the disappearing coastÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely! Each March, we publish our DRY Issue! Here we're looking for content that focuses on the dry aspects of climate changeÉ??desertification and falling reservoirs, rising temperatures and endless droughtsÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely!",5,"5 Note: if accepted, wait six months after publication to submit again. We like poems that use complex fixed verse forms (think sestina, awdl gywydd, masnavi, etc), but we're not against blank or free verse. Most important to us is vivid imagery, clever lyricism, and a strong emotional core. For our two issues focused on the climate crisis, we're particularly interested in publishing poems from people displaced by or threatened by the climate emergency (see our themes below). For our other four issues, we're open to a wide variety of poems across the SFF and weird spectra. Each September, we publish our WET Issue! Here we focus on stories of waterÉ??monsoons and the rising tides, hurricanes and the disappearing coastÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely! Each March, we publish our DRY Issue! Here we're looking for content that focuses on the dry aspects of climate changeÉ??desertification and falling reservoirs, rising temperatures and endless droughtsÉ??we'll center stories by authors directly affected by the climate crisis, though we'll consider anything that fits the theme, even vaguely!"
Havok,"Flash Flash Flash Fantasy, Mystery/Crime, Science Fiction, Suspense/Thriller, Humor",Flash,22 days,"We want stories that hit fast and strike hardÉ??É??stories that, no matter the genre, can cut through the dayÉ??s troubles and grip distracted readers. We only accept stories that fit our daily genres (mystery, science fiction, comedy, thriller, fantasy) and Season Themes. Check É??em out. The themes function as story prompts that will help us together craft story collections that readers will love.",6,"6 We want stories that hit fast and strike hardÉ??É??stories that, no matter the genre, can cut through the dayÉ??s troubles and grip distracted readers. We only accept stories that fit our daily genres (mystery, science fiction, comedy, thriller, fantasy) and Season Themes. Check É??em out. The themes function as story prompts that will help us together craft story collections that readers will love."
Headland Journal - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",98 days,"Note: remove identifying information from manuscript for anonymous judging. 
 Note: one submission per submission period. We are looking for literary short fiction and creative nonfiction.",7,"7 Note: remove identifying information from manuscript for anonymous judging. 
 Note: one submission per submission period. We are looking for literary short fiction and creative nonfiction."
HeartWood Literary Magazine - Poetry,"Poetry Poetry Poetry General, Literary",Poetry,132 days,"Note: after rejection, wait 6 months to submit again. We are interested in writing that pushes into, dares to reveal, its own truth, that takes emotional risks, that gets to the heart of the matter. Lyric, narrative, experimental, prose poems--we're open to all variations of the poetic voice.",8,"8 Note: after rejection, wait 6 months to submit again. We are interested in writing that pushes into, dares to reveal, its own truth, that takes emotional risks, that gets to the heart of the matter. Lyric, narrative, experimental, prose poems--we're open to all variations of the poetic voice."
Hey Hey Books - Fiction,"Novella Novella Novella General, Young Adult",Novella,43 days,"Limited Demographic:  authors in the US 
                                                                        We are looking for a wide verity of genres aimed for either young adult, new adult, or adult readers.",9,"9 Limited Demographic:  authors in the US 
                                                                        We are looking for a wide verity of genres aimed for either young adult, new adult, or adult readers."
Hey Hey Books - Poetry,"Poetry Poetry Poetry General, Young Adult",Poetry,18 days,"Limited Demographic:  authors in the US 
                                                                        We are looking for a wide verity of genres aimed for either young adult, new adult, or adult readers.",10,"10 Limited Demographic:  authors in the US 
                                                                        We are looking for a wide verity of genres aimed for either young adult, new adult, or adult readers."
