row_number,market_name,genres,response_time,url of thumbnail,acceptance rate,followers,founded,country,description,submission_guidelines,tagged_description
1,McSweeney?s,"Humor, Poetry, Flash Fiction",6 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fb52ab5e6-195c-499e-856c-ddfdaed9db85.png&w=384&q=75,3.25%,"200,000",1998,United States,"McSweeney?s is a nonprofit publishing company based in San Francisco. As well as operating a daily humor website, we also publish Timothy McSweeney?s Quarterly Concern, Illustoria Magazine, and an ever-growing selection of books under various imprints. You can buy all of these things from our online store. You can support us today by making a donation.McSweeney?s exists to champion ambitious and inspired new writing, and to challenge conventional expectations about where it?s found, how it looks, and who participates.We?re here to discover things we love, help them find their most resplendent form, and imagine new ways to bring them to you, Dennis. (If you are not Dennis, kindly ignore the aforementioned.",https://www.mcsweeneys.net/pages/submission-guidelines,"1McSweeney?s is a nonprofit publishing company based in San Francisco. As well as operating a daily humor website, we also publish Timothy McSweeney?s Quarterly Concern, Illustoria Magazine, and an ever-growing selection of books under various imprints. You can buy all of these things from our online store. You can support us today by making a donation.McSweeney?s exists to champion ambitious and inspired new writing, and to challenge conventional expectations about where it?s found, how it looks, and who participates.We?re here to discover things we love, help them find their most resplendent form, and imagine new ways to bring them to you, Dennis. (If you are not Dennis, kindly ignore the aforementioned."
2,Yale Review,"Fiction, Nonfiction, Poetry",145 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fb86edcd8-5ff3-4492-8594-3d474cc1a30a.png&w=384&q=75,0.68%,"30,000",1819,United States,"At The Yale Review, we believe in the power of connecting great minds across disciplines, backgrounds, and generations. As a renowned journal of literature and ideas, TYR has been privileged to publish both established names and rising literary talent, including Virginia Woolf, Robert Lowell, Thomas Mann, Bayard Rustin, Louise Glck, Adrienne Rich, Jos Ortega y Gassett, Joyce Carol Oates, James Merrill, Cathy Park Hong, Sheila Heti, and Namwali Serpell. Today, TYR continues to evolve under our new editor Meghan O?Rourke, an acclaimed poet, memoirist, and critic.O?Rourke ushered TYR into its third century of publication by relaunching the magazine in May 2021 as a print and digital publication, with a new website that features original content as well as gems from TYR's incomparable archive. In late 2020, TYR also launched a new event series, TYR Talks, which has brought hundreds of new readers to the magazine. In the past year, we have seen our readership triple, and we look forward to growing our community even further as our presence expands online. The new TYR remains committed to a tradition of editorial excellence and painstaking curation, a site where readers can discover new literature by the best writers of our era alongside engaged, passionate criticism that is beautifully written and powerfully thought. With our new membership program, we hope to invite our readers into an inclusive community of people who care deeply about the written word.",https://yalereview.org/about/submissions,"2At The Yale Review, we believe in the power of connecting great minds across disciplines, backgrounds, and generations. As a renowned journal of literature and ideas, TYR has been privileged to publish both established names and rising literary talent, including Virginia Woolf, Robert Lowell, Thomas Mann, Bayard Rustin, Louise Glck, Adrienne Rich, Jos Ortega y Gassett, Joyce Carol Oates, James Merrill, Cathy Park Hong, Sheila Heti, and Namwali Serpell. Today, TYR continues to evolve under our new editor Meghan O?Rourke, an acclaimed poet, memoirist, and critic.O?Rourke ushered TYR into its third century of publication by relaunching the magazine in May 2021 as a print and digital publication, with a new website that features original content as well as gems from TYR's incomparable archive. In late 2020, TYR also launched a new event series, TYR Talks, which has brought hundreds of new readers to the magazine. In the past year, we have seen our readership triple, and we look forward to growing our community even further as our presence expands online. The new TYR remains committed to a tradition of editorial excellence and painstaking curation, a site where readers can discover new literature by the best writers of our era alongside engaged, passionate criticism that is beautifully written and powerfully thought. With our new membership program, we hope to invite our readers into an inclusive community of people who care deeply about the written word."
3,Suburban Witchcraft Magazine,"Fiction, Nonfiction, Poetry, Hybrid, Multimedia",11 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fb431ff7a-4f5a-4e91-aa45-6009434440b3.png&w=384&q=75,96.72%,"1,000",2022,Serbia,"This magazine aims to merge the worlds of Art & Literature in a way that the combinations inspire the reader in a plethora of ways, following the threads of synergy that these two worlds create.Suburban Witchcraft? as a fusion of words, is aching to represent the sentiment of the magic of strangeness, otherness and the ever-blooming urge to create, despite circumstances, the expectations and poured-over concrete. When creating the magazine, the name was derived from a photography project and the notion that in the suburbs, the veils between creatures, souls and liminal spaces are the most blurred, and how in the world of today that plagues us with various disdain, rebelling against and despite its darkness with love, compassion and humanity often feels like witchcraft.",https://suburbanwitchcraftmagazine.wordpress.com/submission-guidelines/,"3This magazine aims to merge the worlds of Art & Literature in a way that the combinations inspire the reader in a plethora of ways, following the threads of synergy that these two worlds create.Suburban Witchcraft? as a fusion of words, is aching to represent the sentiment of the magic of strangeness, otherness and the ever-blooming urge to create, despite circumstances, the expectations and poured-over concrete. When creating the magazine, the name was derived from a photography project and the notion that in the suburbs, the veils between creatures, souls and liminal spaces are the most blurred, and how in the world of today that plagues us with various disdain, rebelling against and despite its darkness with love, compassion and humanity often feels like witchcraft."
4,Taco Bell Quarterly,"Fiction, Nonfiction, Poetry, Multimedia",253 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fff657e1f-58f0-476a-8d3c-fb603d0daa76.png&w=384&q=75,3.16%,"30,000",2019,United States,"Taco Bell Quarterly seeks literary/creative essays, short stories, fiction/prose, poems, comics, art, one act plays, fever dreams, multimedia, stupid status updates, criticisms, manifestos, recipes and anything else that explore any and all elements of Taco Bell. Or not. Shoehorn a chalupa in your short story. Maybe we?ll love it. An elegy for the discontinued menu items? Fine. An experimental essay about marine biology and the XXL Grilled Stuft Burrito? Awesome. Review the new Beefy Fritos Burrito and how it reminds you of the time your grandma died? We want it. Something that introduces us to inventive form, dynamic language, and strong voice. Or perhaps it does none of the above. We?re not judgey and pretentious. We?re the Taco Bell fucking Quarterly. We lean towards pieces that are queer and center their pain/joy in a Taco Bell.",https://tacobellquarterly.org/submission-guidelines/,"4Taco Bell Quarterly seeks literary/creative essays, short stories, fiction/prose, poems, comics, art, one act plays, fever dreams, multimedia, stupid status updates, criticisms, manifestos, recipes and anything else that explore any and all elements of Taco Bell. Or not. Shoehorn a chalupa in your short story. Maybe we?ll love it. An elegy for the discontinued menu items? Fine. An experimental essay about marine biology and the XXL Grilled Stuft Burrito? Awesome. Review the new Beefy Fritos Burrito and how it reminds you of the time your grandma died? We want it. Something that introduces us to inventive form, dynamic language, and strong voice. Or perhaps it does none of the above. We?re not judgey and pretentious. We?re the Taco Bell fucking Quarterly. We lean towards pieces that are queer and center their pain/joy in a Taco Bell."
5,Diode Poetry Journal,"Nonfiction, Poetry",9 days,https://cdn.duotrope.com/covers/2179-2505132335596.png,1.13%,"9,000",2007,United States,"We welcome all types of poetry (including, but not limited to, narrative, experimental, visual, found and erasure poetry). We also accept poetry in translation, and collaborative poems. We accept submissions of book reviews, interviews, and essays on poetics.",http://diodepoetry.com/submissions/,"5We welcome all types of poetry (including, but not limited to, narrative, experimental, visual, found and erasure poetry). We also accept poetry in translation, and collaborative poems. We accept submissions of book reviews, interviews, and essays on poetics."
6,The Acentos Review,"Fiction, Nonfiction, Poetry, Hybrid, Multimedia",104 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F499dfbbd-99d4-4a59-8ec2-005259ea4b8a.png&w=384&q=75,45.45%,"1,000",2008,united States,"The Acentos Review shoots from the spring that is the Acentos Bronx Poetry Showcase and The Acentos Foundation in supporting the work of Latinx writers. The Acentos Review publishes poetry, fiction, memoir, interviews, translations, and artwork by emerging and established Latinx writers and artists four times a year. The LatinX community is international and so, too, do we pledge to represent that international community. We welcome submissions in English, Spanish, Portuguese, a combination of two languages, as well as the use of indigenous languages. The debate may rage forever as to who or what constitutes Latinx art. Here, there is no such identity crisis. We are already here, writing the histories of our neighborhoods, following the traditions of our ancestors, as well as the poetic traditions that came before us. To paraphrase Baldwin, the poet's task as historian is to keep the story new, even when the telling is costly. This is the aesthetic we foster at Acentos. It is always about the word, the work, and it all begins here.",https://www.acentosreview.com/submission-guidelines.html,"6The Acentos Review shoots from the spring that is the Acentos Bronx Poetry Showcase and The Acentos Foundation in supporting the work of Latinx writers. The Acentos Review publishes poetry, fiction, memoir, interviews, translations, and artwork by emerging and established Latinx writers and artists four times a year. The LatinX community is international and so, too, do we pledge to represent that international community. We welcome submissions in English, Spanish, Portuguese, a combination of two languages, as well as the use of indigenous languages. The debate may rage forever as to who or what constitutes Latinx art. Here, there is no such identity crisis. We are already here, writing the histories of our neighborhoods, following the traditions of our ancestors, as well as the poetic traditions that came before us. To paraphrase Baldwin, the poet's task as historian is to keep the story new, even when the telling is costly. This is the aesthetic we foster at Acentos. It is always about the word, the work, and it all begins here."
7,Aethlon,"Fiction, Nonfiction, Poetry",105 days,https://sportliteratureassociation.wordpress.com/wp-content/uploads/2020/06/aethlon.jpg?w=1024&h=468&crop=1,33%,100,1980,United States,"Aethlon: The Journal of Sport Literature is a print journal designed to celebrate the intersection of literature with the world of play, games, and sport.The Journal of Sport Literature publishes works about sport and sport literature, including original fiction and poetry, juried scholarly and critical essays, and book reviews.",https://sportliteratureassociation.wordpress.com/aethlon/,"7Aethlon: The Journal of Sport Literature is a print journal designed to celebrate the intersection of literature with the world of play, games, and sport.The Journal of Sport Literature publishes works about sport and sport literature, including original fiction and poetry, juried scholarly and critical essays, and book reviews."
8,Diagram,"Fiction, Nonfiction, Poetry, Hybrid, Multimedia",143 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fb5297d9a-2141-41b3-af3e-e18a1622e208.jpeg&w=256&q=75,7.46%,8000,2000,United States,"DIAGRAM is an online literary magazine founded in 2000 and based in Tucson, Arizona. Edited by Ander Monson, the magazine is known for its innovative approach, featuring text and art with a special interest in representations, schematics, labeling, and taxonomy. DIAGRAM publishes poetry, fiction, creative nonfiction, and works that blur genre boundaries, often accompanied by unique diagrams and schematics.As our name indicates, we're interested in representations. In naming. In indicating.In schematics. In the labelling and taxonomy of things. In poems that masquerade as stories; in stories that disguise themselves as indices or obituaries.",https://thediagram.com/subs.html,"8DIAGRAM is an online literary magazine founded in 2000 and based in Tucson, Arizona. Edited by Ander Monson, the magazine is known for its innovative approach, featuring text and art with a special interest in representations, schematics, labeling, and taxonomy. DIAGRAM publishes poetry, fiction, creative nonfiction, and works that blur genre boundaries, often accompanied by unique diagrams and schematics.As our name indicates, we're interested in representations. In naming. In indicating.In schematics. In the labelling and taxonomy of things. In poems that masquerade as stories; in stories that disguise themselves as indices or obituaries."
9,Ranger,"Fiction, Poetry, Hybrid, Multimedia",37 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F811ee173-38a1-4551-a2e7-6e3998c50001.png&w=256&q=75,45.07%,800,2023,United States,"We accept everything. Text-based. Visual. Text-visual. Experimental film. Experimental music. Anything really, really out there.",https://www.rangermagazine.net/submit,"9We accept everything. Text-based. Visual. Text-visual. Experimental film. Experimental music. Anything really, really out there."
10,Dumbo press,"Fiction, short stories, poetry, flash fiction, essays",81 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F470b44bf-ac62-4e25-bfaa-d9942a8b641a.png&w=256&q=75,22.22%,100,2024,United States,"We are on the lookout for contemporary literary fiction and poetry. We have a soft spot for the non-traditional ? those pieces that might not easily fit into the conventional publishing mold. In other words, we like the weird. That said, we're about quality. If your work is compelling, and is of high craftsmanship, we will be happy to consider it. We are open to your fiction, poetry, experiments, vignettes, manifestos, and essays exploring politics, current events, literature, philosophy. And good news ? submitting your work is completely free. Looking forward to seeing your best ? send it our way!",https://dumbopress.com/submissions,"10We are on the lookout for contemporary literary fiction and poetry. We have a soft spot for the non-traditional ? those pieces that might not easily fit into the conventional publishing mold. In other words, we like the weird. That said, we're about quality. If your work is compelling, and is of high craftsmanship, we will be happy to consider it. We are open to your fiction, poetry, experiments, vignettes, manifestos, and essays exploring politics, current events, literature, philosophy. And good news ? submitting your work is completely free. Looking forward to seeing your best ? send it our way!"
